AD7;AD6;AD5;AD4;AD3;AD2;AD1;AD0;DIO7;DIO6;DIO5;DIO4;DIO3;DIO2;DIO1;DIO0;JP18;JP19;JP3;JP4;JP5;JP6;JP7;JP8;JP9;JP10;M1CUR;M2CUR;BoardTemperature;KeyStatus;HeaterTemperature;EngineTemperature;EnginePressure;MaxTopPressure;MinTopPressure;ValvePosition;RadiatorFan;BurnerFan;FeederStatus;IgnitorStatus;InverterStatus;CompressorStatus;SDCardStatus;Error;ErrorCode;ErrorString;InverterOnCounter;InverterOffCounter;LogReturn;LastLogReturn;Stage;InitialDoseTime;InitialStartBurnerFanDelay;CombustionSuccessTemp;CombustionBuildUpTime;InputPelletPowerKWSt3;BurnerSpeedStage2;BurnerSpeedStage3;FeedOnTimeStage3;BurnerSpeedStage4;FeedOnTimeStage4;BurnerFanSwitchOffTemperature;InputPelletPowerKW;InverterOnTemperature;InverterOffTemperature;InverterDelayCounter;ProcessMinHeaterTemp;ProcessMaxHeaterTemp;ErrProcTempLowThresh;
93;991;703;6;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;33;False;27;21;5;5;4;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;987;729;5;5;6;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;39;False;27;21;5;5;4;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;989;708;5;5;6;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;33;False;27;21;5;5;4;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;987;680;5;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;38;False;27;21;4;5;4;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;983;664;6;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;33;False;27;21;4;5;4;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
95;985;708;5;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;32;False;27;21;4;5;4;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;987;758;6;5;5;4;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;32;False;27;21;4;5;4;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
96;987;761;6;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;33;False;27;21;4;5;4;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;985;620;6;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;38;False;27;21;4;5;4;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;988;650;6;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;32;False;27;21;4;5;4;0;0;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
95;983;680;6;4;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;32;False;27;21;4;5;4;0;0;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
95;988;706;6;5;5;5;5;0;0;0;1;1;1;0;0;20;0;1;0;0;0;1;0;0;0;1.6;1.6;34;False;28;21;4;5;4;0;2.7;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;986;744;6;5;5;5;5;0;0;0;1;1;1;0;0;20;0;1;0;0;0;1;0;0;0;1.6;1.6;33;False;27;21;4;5;4;0;2.7;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;987;725;6;5;6;5;5;0;0;0;1;1;1;0;0;20;0;1;0;0;0;1;0;0;0;1.5;1.6;33;False;27;21;4;5;4;0;2.7;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;985;698;5;4;6;5;5;0;0;0;1;1;1;0;0;20;0;1;0;0;0;1;0;0;0;1.4;1.6;32;False;27;21;4;5;4;0;2.7;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;985;698;5;4;6;5;5;0;0;0;1;1;1;0;0;20;0;1;0;0;0;1;0;0;0;1.4;1.6;32;False;27;21;4;5;4;0;2.7;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;967;685;5;5;6;4;5;0;0;0;1;1;1;0;0;30;0;1;0;0;0;1;0;0;0;1.2;1.6;34;False;27;22;4;5;4;0;3.1;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;967;685;5;5;6;4;5;0;0;0;1;1;1;0;0;30;0;1;0;0;0;1;0;0;0;1.2;1.6;34;False;27;22;4;5;4;0;3.1;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;985;690;5;5;5;5;5;0;0;0;1;1;1;0;0;20;0;1;0;0;0;1;0;0;0;1;1.6;34;False;27;21;4;5;4;0;2.7;0;False;False;False;True;True;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
