AD7;AD6;AD5;AD4;AD3;AD2;AD1;AD0;DIO7;DIO6;DIO5;DIO4;DIO3;DIO2;DIO1;DIO0;JP18;JP19;JP3;JP4;JP5;JP6;JP7;JP8;JP9;JP10;M1CUR;M2CUR;BoardTemperature;KeyStatus;HeaterTemperature;EngineTemperature;EnginePressure;MaxTopPressure;MinTopPressure;ValvePosition;RadiatorFan;BurnerFan;FeederStatus;IgnitorStatus;InverterStatus;CompressorStatus;SDCardStatus;Error;ErrorCode;ErrorString;InverterOnCounter;InverterOffCounter;LogReturn;LastLogReturn;Stage;InitialDoseTime;InitialStartBurnerFanDelay;CombustionSuccessTemp;CombustionBuildUpTime;InputPelletPowerKWSt3;BurnerSpeedStage2;BurnerSpeedStage3;FeedOnTimeStage3;BurnerSpeedStage4;FeedOnTimeStage4;BurnerFanSwitchOffTemperature;InputPelletPowerKW;InverterOnTemperature;InverterOffTemperature;InverterDelayCounter;ProcessMinHeaterTemp;ProcessMaxHeaterTemp;ErrProcTempLowThresh;
89;1067;839;4;4;5;4;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;23;False;25;19;6;7;6;0;0;0;False;False;False;True;True;1;6;ALARM : A6;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
86;1061;794;5;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;29;False;25;19;6;7;6;0;0;0;False;False;False;True;True;1;6;ALARM : A6;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
86;1071;801;5;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;21;False;25;19;6;7;6;0;0;0;False;False;False;True;True;1;6;ALARM : A6;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
87;1060;804;5;5;5;5;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;24;False;25;19;6;7;6;0;0;0;False;False;False;True;True;1;6;ALARM : A6;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
85;1063;847;7;6;6;6;6;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;23;False;25;19;6;7;6;0;0;0;False;False;False;True;True;1;6;ALARM : A6;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
86;1063;821;6;6;6;5;6;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;22;False;25;19;6;7;6;0;0;0;False;False;False;True;True;1;6;ALARM : A6;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
87;1062;810;6;6;6;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;23;False;25;19;6;7;6;0;0;0;False;False;False;True;True;1;6;ALARM : A6;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
85;1062;814;6;6;6;5;6;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1.6;1.6;30;False;25;19;6;7;6;0;0;0;False;False;False;True;True;1;6;ALARM : A6;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
88;1065;801;6;6;6;6;6;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1.6;1.6;24;False;25;19;6;7;6;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
87;1063;771;6;6;6;6;6;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1.6;1.6;23;False;25;19;6;7;6;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
91;1066;777;6;6;6;5;5;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1.6;1.6;24;False;25;19;6;7;6;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
87;1058;791;6;6;6;5;6;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1.6;1.6;24;False;25;19;6;7;6;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
90;1061;798;6;6;6;6;6;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1.6;1.6;24;False;26;19;6;7;6;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
92;1064;813;6;6;6;6;5;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;1.6;1.6;23;False;26;19;6;7;6;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2.9; 4.1;6;5;11;10;50;3.423;600;500;100;300;1100;200;
